zona_basica_salud;fecha_informe;Confirmados 14 días;Tasa Incidencia;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Los Rosales;31/05/2020 9:00;6;28,62;216;1030,44;151
Los Yébenes;31/05/2020 9:00;9;26,58;420;1240,26;152
Lucero;31/05/2020 9:00;15;38,42;554;1419,13;153
Luis Vives;31/05/2020 9:00;;0;254;1041,58;154
Majadahonda;31/05/2020 9:00;13;25,54;442;868,39;155
Manuel Merino;31/05/2020 9:00;;8,65;170;1470,59;156
Manzanares El Real;31/05/2020 9:00;;12,23;88;538,29;157
Maqueda;31/05/2020 9:00;17;62,72;354;1306,03;158
Mar Báltico;31/05/2020 9:00;12;18,81;644;1009,58;159
Marqués de la Valdavia;31/05/2020 9:00;;5,69;107;609,24;160
Martín de Vargas;31/05/2020 9:00;;11,54;170;980,9;161
Martínez de la Riva;31/05/2020 9:00;;17,96;176;1053,77;162
María Curie;31/05/2020 9:00;;30,57;123;940,08;163
María Montessori;31/05/2020 9:00;6;43,21;251;1807,58;164
María de Guzmán;31/05/2020 9:00;;22,52;312;1405,34;165
Meco;31/05/2020 9:00;;7,76;214;829,94;166
Media Legua;31/05/2020 9:00;12;47,89;365;1456,62;167
Mejorada del Campo;31/05/2020 9:00;;6,77;312;704,27;168
Mendiguchía Carriche;31/05/2020 9:00;7;30,85;314;1383,81;169
Miguel Servet;31/05/2020 9:00;;5,82;213;1239,6;170
Miguel de Cervantes;31/05/2020 9:00;6;22,01;328;1203,4;171
Miraflores;31/05/2020 9:00;;13,73;159;727,86;172
Mirasierra;31/05/2020 9:00;;12,16;393;1195;173
Monforte de Lemos;31/05/2020 9:00;;18,72;270;1684,55;174
Monovar;31/05/2020 9:00;;14,15;231;1089,83;175
Montecarmelo;31/05/2020 9:00;;10,82;119;643,94;176
Monterrozas;31/05/2020 9:00;;10,3;382;984,1;177
Montesa;31/05/2020 9:00;;16,43;375;1540,23;178
Moralzarzal;31/05/2020 9:00;;15,35;77;591,13;179
Morata de Tajuña;31/05/2020 9:00;;13,02;99;1288,56;180
María Jesús Hereza;31/05/2020 9:00;19;49,61;587;1532,68;181
Méndez Álvaro;31/05/2020 9:00;;11,12;64;711,59;182
Navalcarnero;31/05/2020 9:00;20;48,4;298;721,15;183
Navas del Rey;31/05/2020 9:00;;28,69;141;2022,67;184
Nuestra Señora del Pilar;31/05/2020 9:00;;22,67;192;1088,07;185
Numancia;31/05/2020 9:00;20;82,37;364;1499,11;186
Nuñez Morgado;31/05/2020 9:00;7;30,02;252;1080,9;187
Opañel;31/05/2020 9:00;;25,79;280;1444,19;188
Orcasitas;31/05/2020 9:00;;8,76;186;814,61;189
Orcasur;31/05/2020 9:00;;7,24;129;933,7;190
Pacífico;31/05/2020 9:00;17;51,73;381;1159,43;191
Palma Universidad;31/05/2020 9:00;;4,09;238;973,89;192
Palomares;31/05/2020 9:00;6;48,61;258;2090,25;193
Panaderas;31/05/2020 9:00;;8,09;292;787,21;194
Paracuellos del Jarama;31/05/2020 9:00;;0;73;288,89;195
Parque Coimbra;31/05/2020 9:00;7;57,28;188;1538,46;196
Parque Europa;31/05/2020 9:00;;12,03;172;517,32;197
Parque Loranca;31/05/2020 9:00;6;19,31;170;547,06;198
Parque Oeste;31/05/2020 9:00;;0;128;882,58;199
Pavones;31/05/2020 9:00;13;80,37;257;1588,87;200
Perales de Tajuña;31/05/2020 9:00;;22,63;77;871,14;201
Perales del Río;31/05/2020 9:00;;20,77;81;841,3;202
Peña Prieta;31/05/2020 9:00;17;98,91;242;1408,04;203
Peñagrande;31/05/2020 9:00;7;28;381;1524,06;204
Pilar;31/05/2020 9:00;7;16,77;668;1600,46;205
Pinto;31/05/2020 9:00;6;31,12;131;679,53;206
Pintores;31/05/2020 9:00;;8,28;152;629,43;207
Pizarro;31/05/2020 9:00;;24,27;249;1510,74;208
Portazgo;31/05/2020 9:00;;22,32;281;1567,64;209
Potosí;31/05/2020 9:00;;17,13;284;973,1;210
Pozo de Tío Raimundo;31/05/2020 9:00;;0;111;1542,52;211
Pozuelo - Estación;31/05/2020 9:00;10;26,07;348;907,17;212
Pozuelo - Somosaguas;31/05/2020 9:00;;12,99;191;826,73;213
Presentación Sabio;31/05/2020 9:00;7;31,31;203;908,07;214
