municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Valdemoro;31/05/2020 9:00;12;15,79;836;1100,25;1610
Tres Cantos;31/05/2020 9:00;;10,48;428;896,86;9036
Torrelaguna;31/05/2020 9:00;;0;24;504,2;1512
Rivas-Vaciamadrid;31/05/2020 9:00;8;9,08;578;655,7;1230
El Atazar;31/05/2020 9:00;;0;;0;164
Pedrezuela;31/05/2020 9:00;;33,94;28;475,22;1087
Santa María de la Alameda;31/05/2020 9:00;;0;6;478,47;1356
Horcajuelo de la Sierra;31/05/2020 9:00;;0;;0;719
Arroyomolinos;31/05/2020 9:00;;15,93;186;592,43;151
Moralzarzal;31/05/2020 9:00;;15,35;77;591,13;908
Canencia;31/05/2020 9:00;;223,71;;671,14;344
Villarejo de Salvanés;31/05/2020 9:00;;13,63;39;531,7;1809
Serranillos del Valle;31/05/2020 9:00;;48,02;37;888,36;1408
Villaviciosa de Odón;31/05/2020 9:00;6;21,56;222;797,56;1816
Camarma de Esteruelas;31/05/2020 9:00;;0;43;586,15;323
Robledo de Chavela;31/05/2020 9:00;;0;27;632,32;1258
Patones;31/05/2020 9:00;;739,37;10;1848,43;1071
Navalagamella;31/05/2020 9:00;;0;6;229,89;954
Rascafría;31/05/2020 9:00;;0;6;360,58;1202
El Boalo;31/05/2020 9:00;;26,64;44;586,04;231
Majadahonda;31/05/2020 9:00;16;22,28;605;842,31;800
Batres;31/05/2020 9:00;;118,76;10;593,82;170
Alcobendas;31/05/2020 9:00;23;19,65;825;704,89;66
Alcalá de Henares;31/05/2020 9:00;35;17,89;2433;1243,55;53
Colmenar Viejo;31/05/2020 9:00;10;19,7;436;859,08;455
San Fernando de Henares;31/05/2020 9:00;11;27,9;431;1093,02;1300
Villalbilla;31/05/2020 9:00;;0;93;670,13;1723
El Escorial;31/05/2020 9:00;;18,56;139;860,04;549
Colmenar del Arroyo;31/05/2020 9:00;;0;51;2956,52;421
Torrejón de Ardoz;31/05/2020 9:00;13;9,9;1012;770,31;1489
Piñuécar-Gandullas;31/05/2020 9:00;;0;;0;1147
Brea de Tajo;31/05/2020 9:00;;0;6;1145,04;259
El Molar;31/05/2020 9:00;;0;38;425,15;869
Belmonte de Tajo;31/05/2020 9:00;;0;;300,48;199
Torres de la Alameda;31/05/2020 9:00;;12,86;78;1002,7;1548
Somosierra;31/05/2020 9:00;;0;;2325,58;1436
Alpedrete;31/05/2020 9:00;;13,72;146;1001,72;105
Orusco de Tajuña;31/05/2020 9:00;;0;17;1366,56;1028
La Hiruela;31/05/2020 9:00;;0;;3508,77;698
Cervera de Buitrago;31/05/2020 9:00;;0;;2000;395
Getafe;31/05/2020 9:00;36;19,63;1435;782,55;650
Ribatejada;31/05/2020 9:00;;0;;255,43;1224
Villaconejos;31/05/2020 9:00;;0;9;265,64;1701
Valdetorres de Jarama;31/05/2020 9:00;;0;18;400,27;1646
Madrid-Retiro;30/05/2020 9:00;45;37,71;1537;1288,17;79603
Madrid-Salamanca;30/05/2020 9:00;37;25,32;1685;1153,29;79604
Madrid-Centro;30/05/2020 9:00;22;16,31;1183;877,28;79601
Madrid-Arganzuela;30/05/2020 9:00;38;24,71;1637;1064,35;79602
Madrid-Chamartín;30/05/2020 9:00;49;33,6;1697;1163,53;79605
Madrid-Tetuán;30/05/2020 9:00;18;11,39;2145;1357,4;79606
Madrid-Chamberí;30/05/2020 9:00;30;21,52;1592;1142,21;79607
Madrid-Fuencarral-El Pardo;30/05/2020 9:00;45;18,3;3034;1233,64;79608
Madrid-Moncloa-Aravaca;30/05/2020 9:00;34;28,47;1457;1220,07;79609
Madrid-Latina;30/05/2020 9:00;88;36,94;2880;1208,98;79610
Madrid-Carabanchel;30/05/2020 9:00;72;28,45;2788;1101,55;79611
Madrid-Usera;30/05/2020 9:00;20;14,31;1424;1019,03;79612
Madrid-Puente de Vallecas;30/05/2020 9:00;89;37,9;3157;1344,22;79613
Madrid-San Blas - Canillejas;30/05/2020 9:00;23;14,54;1489;941,56;79620
Madrid-Barajas;30/05/2020 9:00;8;16,34;435;888,75;79621
Madrid-Moratalaz;30/05/2020 9:00;52;54,99;1388;1467,7;79614
Madrid-Ciudad Lineal;30/05/2020 9:00;39;18,03;2251;1040,76;79615
Madrid-Hortaleza;30/05/2020 9:00;33;17,54;1776;943,74;79616
Madrid-Villaverde;30/05/2020 9:00;22;14,77;1449;972,84;79617
Madrid-Villa de Vallecas;30/05/2020 9:00;20;18,12;1243;1126,26;79618
Madrid-Vicálvaro;30/05/2020 9:00;21;29,13;850;1179,07;79619
Pozuelo de Alarcón;30/05/2020 9:00;24;27,77;816;944,2;1150
Alcorcón;30/05/2020 9:00;34;19,94;1900;1114,28;72
Navalcarnero;30/05/2020 9:00;13;44,37;190;648,51;967
San Agustín del Guadalix;30/05/2020 9:00;18;134,54;81;605,43;1296
Las Rozas de Madrid;30/05/2020 9:00;12;12,52;819;854,78;1277
Moraleja de Enmedio;30/05/2020 9:00;;19,47;27;525,7;894
Valdaracete;30/05/2020 9:00;;164,2;7;1149,43;1551
Pozuelo del Rey;30/05/2020 9:00;;87,18;;261,55;1163
Puebla de la Sierra;30/05/2020 9:00;;0;;0;1185
Perales de Tajuña;30/05/2020 9:00;;0;11;374,79;1104
Valdemorillo;30/05/2020 9:00;;7,99;49;391,44;1603
Navalafuente;30/05/2020 9:00;;69,01;8;552,1;941
Velilla de San Antonio;30/05/2020 9:00;;8,17;75;612,95;1678
Villanueva de la Cañada;30/05/2020 9:00;10;46,63;163;760,08;1760
Villanueva del Pardillo;30/05/2020 9:00;;5,82;106;617;1776
Nuevo Baztán;30/05/2020 9:00;;47,8;32;509,88;1006
Villamantilla;30/05/2020 9:00;;69,4;8;555,17;1757
Villamanta;30/05/2020 9:00;;0;12;469,67;1744
Cabanillas de la Sierra;30/05/2020 9:00;;0;10;1322,75;297
Cenicientos;30/05/2020 9:00;;49,19;31;1524,84;376
Puentes Viejas;30/05/2020 9:00;;0;;294,55;9020
Aranjuez;30/05/2020 9:00;7;11,74;461;773,4;133
Cercedilla;30/05/2020 9:00;;42,7;119;1693,71;382
Santorcaz;30/05/2020 9:00;;0;7;790,07;1369
Coslada;30/05/2020 9:00;17;20,82;833;1020,07;493
Morata de Tajuña;30/05/2020 9:00;;0;98;1275,54;915
Robregordo;30/05/2020 9:00;;0;;0;1261
Navarredonda y San Mamés;30/05/2020 9:00;;0;;1550,39;973
Venturada;30/05/2020 9:00;;0;;138,7;1697
Navacerrada;30/05/2020 9:00;;33,65;19;639,3;936
Montejo de la Sierra;30/05/2020 9:00;;0;;283,29;881
Fresno de Torote;30/05/2020 9:00;;0;14;630,35;571
Pinilla del Valle;30/05/2020 9:00;;0;;0;1126
Valdemaqueda;30/05/2020 9:00;;0;;640,2;1599
Navas del Rey;30/05/2020 9:00;;34,27;82;2810,14;992
Olmeda de las Fuentes;30/05/2020 9:00;;0;;862,07;1013
Bustarviejo;30/05/2020 9:00;;39,95;9;359,57;284
Becerril de la Sierra;30/05/2020 9:00;;35;34;595,03;186
Fuenlabrada;30/05/2020 9:00;30;15,49;1613;832,73;587
Garganta de los Montes;30/05/2020 9:00;;0;;288,18;626
Pinto;30/05/2020 9:00;9;17,13;302;574,95;1132
Alameda del Valle;30/05/2020 9:00;;0;;0;35
Berzosa del Lozoya;30/05/2020 9:00;;0;;975,61;203
Los Santos de la Humosa;30/05/2020 9:00;;0;20;772,2;1375
El Álamo;30/05/2020 9:00;7;73,92;96;1013,73;40
Pelayos de la Presa;30/05/2020 9:00;;0;18;693,37;1090
Galapagar;30/05/2020 9:00;;8,89;284;841,68;611
Griñón;30/05/2020 9:00;;9,69;100;969,09;663
Gargantilla del Lozoya y Pinilla de Buitrago;30/05/2020 9:00;;0;;949,37;632
Aldea del Fresno;30/05/2020 9:00;;35,24;59;2078,93;88
Carabaña;30/05/2020 9:00;;0;14;696,52;357
Talamanca de Jarama;30/05/2020 9:00;;51,85;61;1581,54;1454
Chapinería;30/05/2020 9:00;;42,96;8;343,64;513
Ciempozuelos;30/05/2020 9:00;9;36,6;255;1036,92;409
Ajalvir;30/05/2020 9:00;;0;35;742,78;29
San Lorenzo de El Escorial;30/05/2020 9:00;;27,22;147;800,26;1317
Gascones;30/05/2020 9:00;;0;;0;647
San Martín de la Vega;30/05/2020 9:00;6;31,3;97;506;1322
Móstoles;30/05/2020 9:00;56;26,77;2199;1051,23;920
Leganés;30/05/2020 9:00;96;50,56;3164;1666,48;745
Braojos;30/05/2020 9:00;;0;;975,61;246
Cubas de la Sagra;30/05/2020 9:00;;15,59;30;467,8;506
Algete;30/05/2020 9:00;;19,41;119;577,36;91
Mejorada del Campo;30/05/2020 9:00;;8,59;188;807,77;843
Loeches;30/05/2020 9:00;;0;49;557,39;758
Parla;30/05/2020 9:00;20;15,37;778;597,89;1065
Fuentidueña de Tajo;30/05/2020 9:00;;48,71;19;925,47;604
Ambite;30/05/2020 9:00;;0;7;1182,43;112
Torremocha de Jarama;30/05/2020 9:00;7;686,95;15;1472,03;1533
Anchuelo;30/05/2020 9:00;;0;7;550,75;127
Los Molinos;30/05/2020 9:00;;0;53;1207,56;875
Soto del Real;30/05/2020 9:00;;0;66;750,09;1441
Valverde de Alcalá;30/05/2020 9:00;;0;8;1720,43;1662
Fuente el Saz de Jarama;30/05/2020 9:00;;29,87;38;567,5;590
Ribatejada;30/05/2020 9:00;;0;;255,43;1224
Horcajo de la Sierra-Aoslos;30/05/2020 9:00;;0;;2758,62;702
Valdeolmos-Alalpardo;30/05/2020 9:00;;0;11;265,96;1625
Campo Real;30/05/2020 9:00;;16,1;28;450,89;339
Valdeavero;30/05/2020 9:00;;64,35;9;579,15;1564
Villamanrique de Tajo;30/05/2020 9:00;;0;;568,99;1739
Cobeña;30/05/2020 9:00;8;107,7;83;1117,39;416
Fresnedillas de la Oliva;30/05/2020 9:00;;0;9;572,52;565
Valdilecha;30/05/2020 9:00;;0;18;613,71;1659
El Berrueco;30/05/2020 9:00;;0;8;1052,63;210
Pezuela de las Torres;30/05/2020 9:00;;0;;237,53;1111
Villar del Olmo;30/05/2020 9:00;;0;;198,91;1795
Guadarrama;30/05/2020 9:00;8;49,9;225;1403,44;685
San Martín de Valdeiglesias;30/05/2020 9:00;;59,11;96;1134,89;1338
Torrelodones;30/05/2020 9:00;;4,22;347;1463,09;1527
Boadilla del Monte;30/05/2020 9:00;6;11;380;696,35;225
Torrejón de Velasco;30/05/2020 9:00;;45,64;22;502,05;1505
Villanueva de Perales;30/05/2020 9:00;;0;;319,9;1782
Tielmes;30/05/2020 9:00;;37,74;34;1283,02;1467
San Sebastián de los Reyes;30/05/2020 9:00;47;52,65;554;620,55;1343
Guadalix de la Sierra;30/05/2020 9:00;;0;50;804,63;679
Humanes de Madrid;30/05/2020 9:00;;5,07;125;633,14;730
Chinchón;30/05/2020 9:00;;18,76;28;525,23;528
Cadalso de los Vidrios;30/05/2020 9:00;;65,81;11;361,96;318
Hoyo de Manzanares;30/05/2020 9:00;;47,43;41;486,13;724
Torrejón de la Calzada;30/05/2020 9:00;;22,54;41;462,13;1492
Estremera;30/05/2020 9:00;;0;9;714,29;552
Corpa;30/05/2020 9:00;;0;6;841,51;480
Meco;30/05/2020 9:00;;0;141;985,67;838
Madarcos;30/05/2020 9:00;;0;;0;783
Zarzalejo;30/05/2020 9:00;;60,31;43;2593,49;1837
Arganda del Rey;30/05/2020 9:00;9;16,25;362;653,56;148
Collado Mediano;30/05/2020 9:00;;0;32;459,9;468
Daganzo de Arriba;30/05/2020 9:00;;0;41;401,76;534
Manzanares El Real;30/05/2020 9:00;;0;44;497,74;822
Buitrago del Lozoya;30/05/2020 9:00;;0;15;796,18;278
Valdelaguna;30/05/2020 9:00;;0;;106,72;1570
Valdepiélagos;30/05/2020 9:00;;0;;0;1631
Casarrubuelos;30/05/2020 9:00;;0;11;291,16;360
Miraflores de la Sierra;30/05/2020 9:00;;32,74;39;638,51;856
Paracuellos de Jarama;30/05/2020 9:00;;0;73;288,89;1049
El Vellón;30/05/2020 9:00;;0;14;715,02;1684
Lozoya;30/05/2020 9:00;;0;;172,12;761
Collado Villalba;30/05/2020 9:00;12;18,84;539;846,43;474
Colmenarejo;30/05/2020 9:00;;0;47;514,79;442
Villavieja del Lozoya;30/05/2020 9:00;;0;;0;1821
Prádena del Rincón;30/05/2020 9:00;;0;;0;1179
La Cabrera;30/05/2020 9:00;;0;12;449,94;301
Sevilla la Nueva;30/05/2020 9:00;;32,2;142;1523,93;1415
La Acebeda;30/05/2020 9:00;;0;;0;14
Redueña;30/05/2020 9:00;;0;;769,23;1219
Robledillo de la Jara;30/05/2020 9:00;;0;;1250;1245
La Serna del Monte;30/05/2020 9:00;;0;;0;1381
Colmenar de Oreja;30/05/2020 9:00;;24,9;29;361,06;437
Rozas de Puerto Real;30/05/2020 9:00;;188,68;;754,72;1283
Valdemanco;30/05/2020 9:00;;109,41;;218,82;1586
Brunete;30/05/2020 9:00;;9,31;115;1071,16;262
Titulcia;30/05/2020 9:00;;0;9;685,45;1473
Villa del Prado;30/05/2020 9:00;;76,69;131;2009,2;1718
Lozoyuela-Navas-Sieteiglesias;30/05/2020 9:00;;0;;230,95;9015
Quijorna;30/05/2020 9:00;;29,08;33;959,58;1198
Valdemoro;30/05/2020 9:00;12;15,79;836;1100,25;1610
Tres Cantos;30/05/2020 9:00;;10,48;428;896,86;9036
Torrelaguna;30/05/2020 9:00;;0;24;504,2;1512
Rivas-Vaciamadrid;30/05/2020 9:00;7;7,94;577;654,57;1230
El Atazar;30/05/2020 9:00;;0;;0;164
Pedrezuela;30/05/2020 9:00;;33,94;28;475,22;1087
Santa María de la Alameda;30/05/2020 9:00;;0;6;478,47;1356
Horcajuelo de la Sierra;30/05/2020 9:00;;0;;0;719
Arroyomolinos;30/05/2020 9:00;;15,93;186;592,43;151
Moralzarzal;30/05/2020 9:00;;15,35;77;591,13;908
Canencia;30/05/2020 9:00;;223,71;;671,14;344
Villarejo de Salvanés;30/05/2020 9:00;;13,63;39;531,7;1809
Serranillos del Valle;30/05/2020 9:00;;24,01;35;840,34;1408
Villaviciosa de Odón;30/05/2020 9:00;6;21,56;222;797,56;1816
Camarma de Esteruelas;30/05/2020 9:00;;0;43;586,15;323
Robledo de Chavela;30/05/2020 9:00;;0;27;632,32;1258
Patones;30/05/2020 9:00;;739,37;10;1848,43;1071
Navalagamella;30/05/2020 9:00;;0;6;229,89;954
Rascafría;30/05/2020 9:00;;0;6;360,58;1202
El Boalo;30/05/2020 9:00;;26,64;44;586,04;231
Majadahonda;30/05/2020 9:00;14;19,49;603;839,53;800
Batres;30/05/2020 9:00;;59,38;9;534,44;170
Alcobendas;30/05/2020 9:00;21;17,94;823;703,18;66
Alcalá de Henares;30/05/2020 9:00;36;18,4;2432;1243,04;53
Colmenar Viejo;30/05/2020 9:00;9;17,73;435;857,11;455
San Fernando de Henares;30/05/2020 9:00;11;27,9;431;1093,02;1300
Villalbilla;30/05/2020 9:00;;0;93;670,13;1723
El Escorial;30/05/2020 9:00;;18,56;139;860,04;549
Colmenar del Arroyo;30/05/2020 9:00;;0;51;2956,52;421
Torrejón de Ardoz;30/05/2020 9:00;13;9,9;1012;770,31;1489
Piñuécar-Gandullas;30/05/2020 9:00;;0;;0;1147
Brea de Tajo;30/05/2020 9:00;;0;6;1145,04;259
El Molar;30/05/2020 9:00;;0;38;425,15;869
Belmonte de Tajo;30/05/2020 9:00;;0;;300,48;199
Torres de la Alameda;30/05/2020 9:00;;12,86;78;1002,7;1548
Somosierra;30/05/2020 9:00;;0;;2325,58;1436
Alpedrete;30/05/2020 9:00;;13,72;146;1001,72;105
Orusco de Tajuña;30/05/2020 9:00;;0;17;1366,56;1028
La Hiruela;30/05/2020 9:00;;0;;3508,77;698
Cervera de Buitrago;30/05/2020 9:00;;0;;2000;395
Getafe;30/05/2020 9:00;36;19,63;1435;782,55;650
Villaconejos;30/05/2020 9:00;;0;9;265,64;1701
Valdetorres de Jarama;30/05/2020 9:00;;0;18;400,27;1646
Madrid-Retiro;29/05/2020 9:00;40;33,52;1526;1278,95;79603
